Model,Feature,Gain
XGBoost - Sequential real+synthetic,accelerations_mean_amp_bpm,30.6666202545166
XGBoost - Sequential real+synthetic,Weight_g,29.315937042236328
XGBoost - Sequential real+synthetic,Gest_weeks,28.28189468383789
XGBoost - Sequential real+synthetic,fhr_baseline_mean_bpm,27.728666305541992
XGBoost - Sequential real+synthetic,ltv_mean_amp_bpm,27.050861358642578
XGBoost - Sequential real+synthetic,fhr_apen,22.08449363708496
XGBoost - Sequential real+synthetic,Parity,21.683259963989258
XGBoost - Sequential real+synthetic,Sex,21.671648025512695
XGBoost - Sequential real+synthetic,uc_invalid_pct,20.786014556884766
XGBoost - Sequential real+synthetic,fhr_baseline_median_bpm,20.189762115478516
XGBoost - Sequential real+synthetic,accelerations_mean_duration_s,19.16224479675293
XGBoost - Sequential real+synthetic,decelerations_mean_duration_s,18.048677444458008
XGBoost - Sequential real+synthetic,dfa_alpha,17.824851989746094
XGBoost - Sequential real+synthetic,dfa_alpha_long,15.849442481994629
XGBoost - Sequential real+synthetic,fhr_sampen,15.716882705688477
XGBoost - Sequential real+synthetic,Gravidity,15.221742630004883
XGBoost - Sequential real+synthetic,Diabetes,14.746116638183594
XGBoost - Sequential real+synthetic,delta_baseline_std_bpm,14.213305473327637
XGBoost - Sequential real+synthetic,uc_contractions_count,14.129237174987793
XGBoost - Sequential real+synthetic,slope_baseline_mean_30min,13.890552520751953
XGBoost - Sequential real+synthetic,ltv_valid_windows,12.333077430725098
XGBoost - Sequential real+synthetic,dfa_alpha_short,10.839192390441895
XGBoost - Sequential real+synthetic,decelerations_mean_amp_bpm,9.509799003601074
XGBoost - Sequential real+synthetic,ltv_median_amp_bpm,9.301190376281738
XGBoost - Sequential real+synthetic,dfa_intercept,8.971464157104492
XGBoost - Sequential real+synthetic,Pyrexia,8.268471717834473
CatBoost - Sequential real+synthetic,Weight_g,31.041157917295948
CatBoost - Sequential real+synthetic,Age,29.871530425503938
CatBoost - Sequential real+synthetic,Gest_weeks,12.551795264363028
CatBoost - Sequential real+synthetic,Sex,4.331034068015399
CatBoost - Sequential real+synthetic,Gravidity,3.7849480252977434
CatBoost - Sequential real+synthetic,fhr_baseline_median_bpm,3.4961966868637426
CatBoost - Sequential real+synthetic,fhr_baseline_mean_bpm,3.16954955862054
CatBoost - Sequential real+synthetic,Parity,2.074245547290534
CatBoost - Sequential real+synthetic,fhr_baseline_std_bpm,1.999189670669206
CatBoost - Sequential real+synthetic,Diabetes,1.3072454008271206
CatBoost - Sequential real+synthetic,fhr_apen,0.9960993843583033
CatBoost - Sequential real+synthetic,ltv_valid_windows,0.7215811553138791
CatBoost - Sequential real+synthetic,Pyrexia,0.6985092243542523
CatBoost - Sequential real+synthetic,accelerations_count,0.687751860959759
CatBoost - Sequential real+synthetic,fhr_sampen,0.5334369980650365
CatBoost - Sequential real+synthetic,accelerations_mean_amp_bpm,0.4326456155620434
CatBoost - Sequential real+synthetic,ltv_mean_amp_bpm,0.41877760753202026
CatBoost - Sequential real+synthetic,uc_invalid_pct,0.38998631591870475
CatBoost - Sequential real+synthetic,uc_contractions_count,0.2819026723919096
CatBoost - Sequential real+synthetic,decelerations_mean_duration_s,0.2497017861119971
CatBoost - Sequential real+synthetic,dfa_alpha_long,0.24142537939868983
CatBoost - Sequential real+synthetic,ltv_median_amp_bpm,0.2352473131521993
CatBoost - Sequential real+synthetic,delta_baseline_std_bpm,0.1937130781495308
CatBoost - Sequential real+synthetic,accelerations_mean_duration_s,0.17565741706348822
CatBoost - Sequential real+synthetic,fhr_invalid_pct,0.05484395702349343
CatBoost - Sequential real+synthetic,dfa_intercept,0.02145240667050712
CatBoost - Sequential real+synthetic,deceleration_uc_lag_mean_s,0.020959144796515984
CatBoost - Sequential real+synthetic,dfa_alpha_short,0.019416118430473292
CatBoost - Sequential real+synthetic,fhr_baseline_slope_bpm_min,0.0
CatBoost - Sequential real+synthetic,decelerations_mean_amp_bpm,0.0
CatBoost - Sequential real+synthetic,decelerations_count,0.0
CatBoost - Sequential real+synthetic,decelerations_variable_count,0.0
CatBoost - Sequential real+synthetic,decelerations_early_count,0.0
CatBoost - Sequential real+synthetic,dfa_alpha,0.0
CatBoost - Sequential real+synthetic,deceleration_uc_lag_median_s,0.0
CatBoost - Sequential real+synthetic,decelerations_late_count,0.0
CatBoost - Sequential real+synthetic,delta_sampen,0.0
CatBoost - Sequential real+synthetic,fhr_std_falling_streak,0.0
CatBoost - Sequential real+synthetic,fhr_sampen_falling_streak,0.0
CatBoost - Sequential real+synthetic,slope_sampen_30min,0.0
CatBoost - Sequential real+synthetic,slope_baseline_mean_30min,0.0
