Model,N_Features,Sequential_Features_Used,Training_Data,AUROC,AUPRC,Sensitivity,Specificity,Brier_Score,Threshold,Patient_NNA,Patient_Recall_AnyAlert,Early_Warning_Median_Min
Clean Forward AIC,23,"slope_sampen_30min, fhr_sampen_falling_streak, delta_sampen, delta_baseline_std_bpm",Real train windows,0.6019161576437118,0.1789114037506071,0.7134502923976608,0.4220985691573927,0.1060990128917331,0.0848326386712109,7.368421052631579,0.95,45.0
Clean Forward BIC,5,,Real train windows,0.6040266272464415,0.2033969575872319,0.7076023391812866,0.4093799682034976,0.1030058483375385,0.0910179998613909,7.555555555555555,0.9,46.766666666666666
XGBoost - Sequential real-only,41,"delta_baseline_std_bpm, delta_sampen, fhr_std_falling_streak, fhr_sampen_falling_streak, slope_sampen_30min, slope_baseline_mean_30min",Train 100% Real,0.5748426445020872,0.1459027456321524,0.7251461988304093,0.3672496025437202,0.12007383737255571,0.09192009270191193,7.1,1.0,45.88333333333333
CatBoost - Sequential real-only,41,"delta_baseline_std_bpm, delta_sampen, fhr_std_falling_streak, fhr_sampen_falling_streak, slope_sampen_30min, slope_baseline_mean_30min",Train 100% Real,0.5315780176461291,0.13262877925355437,0.672514619883041,0.3465818759936407,0.1651363135221589,0.17419960970945167,7.315789473684211,0.95,38.40833333333333
XGBoost - Sequential real+synthetic,41,"delta_baseline_std_bpm, delta_sampen, fhr_std_falling_streak, fhr_sampen_falling_streak, slope_sampen_30min, slope_baseline_mean_30min",Train Mixed Real+Synthetic,0.6567325839771659,0.18574602722852604,0.9064327485380117,0.2655007949125596,0.10640419330316975,0.03531679883599281,7.578947368421052,0.95,50.0
CatBoost - Sequential real+synthetic,41,"delta_baseline_std_bpm, delta_sampen, fhr_std_falling_streak, fhr_sampen_falling_streak, slope_sampen_30min, slope_baseline_mean_30min",Train Mixed Real+Synthetic,0.5460863340120305,0.1568239512699999,0.7543859649122807,0.23449920508744038,0.16794016117819846,0.08629675713741776,8.0,0.9,50.0
