Model,N_Features,Sequential_Features_Used,Training_Data,Features,AUROC,AUPRC,Sensitivity,Specificity,Brier_Score,Threshold,Patient_NNA,Patient_Recall_AnyAlert,Early_Warning_Median_Min
Clean Forward AIC,23,"slope_sampen_30min, fhr_sampen_falling_streak, delta_sampen, delta_baseline_std_bpm",Real train windows,"fhr_baseline_std_bpm, Age, Parity, Sex, Diabetes, fhr_sampen, fhr_invalid_pct, Pyrexia, fhr_baseline_median_bpm, uc_invalid_pct, dfa_alpha_short, slope_sampen_30min, decelerations_mean_duration_s, accelerations_count, decelerations_count, dfa_alpha, fhr_sampen_falling_streak, delta_sampen, ltv_valid_windows, ltv_mean_amp_bpm, Gravidity, Gest_weeks, delta_baseline_std_bpm",0.6019161576437118,0.17891140375060716,0.7134502923976608,0.4220985691573927,0.1060990128917331,0.0848326386712109,7.368421052631579,0.95,45.0
Clean Forward BIC,5,,Real train windows,"fhr_baseline_std_bpm, Age, Parity, Sex, Diabetes",0.6040266272464415,0.20339695758723192,0.7076023391812866,0.4093799682034976,0.10300584833753856,0.09101799986139099,7.555555555555555,0.9,46.766666666666666
