Feature,Gain
II_stage,305.6701354980469
Deliv_type,203.81275939941406
Age,165.79159545898438
Weight_g,103.65365600585938
I_stage,101.57041931152344
fhr_baseline_std_bpm,85.10816192626953
Gest_weeks,82.94925689697266
Sex,75.26573181152344
fhr_sampen,74.58185577392578
fhr_apen,62.424232482910156
Rec_type,57.54521179199219
ltv_median_amp_bpm,49.86768341064453
