Model,Feature,Gain
XGBoost - Sequential real+synthetic,decelerations_mean_duration_s,6.424066543579102
XGBoost - Sequential real+synthetic,uc_invalid_pct,6.31776237487793
XGBoost - Sequential real+synthetic,accelerations_mean_amp_bpm,5.874297142028809
XGBoost - Sequential real+synthetic,dfa_alpha_long,5.824550628662109
XGBoost - Sequential real+synthetic,ltv_mean_amp_bpm,5.544775485992432
XGBoost - Sequential real+synthetic,ltv_median_amp_bpm,5.286065578460693
XGBoost - Sequential real+synthetic,accelerations_mean_duration_s,4.672362804412842
XGBoost - Sequential real+synthetic,fhr_sampen,4.631414890289307
XGBoost - Sequential real+synthetic,fhr_invalid_pct,4.394495964050293
XGBoost - Sequential real+synthetic,dfa_intercept,4.265213489532471
XGBoost - Sequential real+synthetic,uc_contractions_count,4.211995601654053
XGBoost - Sequential real+synthetic,Diabetes,3.9222447872161865
XGBoost - Sequential real+synthetic,delta_baseline_std_bpm,3.86861515045166
XGBoost - Sequential real+synthetic,decelerations_early_count,3.727754831314087
XGBoost - Sequential real+synthetic,dfa_alpha,3.6782443523406982
XGBoost - Sequential real+synthetic,deceleration_uc_lag_median_s,3.505174160003662
XGBoost - Sequential real+synthetic,decelerations_mean_amp_bpm,3.4043304920196533
XGBoost - Sequential real+synthetic,dfa_alpha_short,3.381197452545166
XGBoost - Sequential real+synthetic,decelerations_late_count,3.1142804622650146
XGBoost - Sequential real+synthetic,slope_sampen_30min,2.9285218715667725
XGBoost - Sequential real+synthetic,slope_baseline_mean_30min,2.6240646839141846
XGBoost - Sequential real+synthetic,deceleration_uc_lag_mean_s,2.5540857315063477
XGBoost - Sequential real+synthetic,fhr_std_falling_streak,2.3673810958862305
XGBoost - Sequential real+synthetic,delta_sampen,2.3017444610595703
XGBoost - Sequential real+synthetic,fhr_baseline_slope_bpm_min,2.1788551807403564
XGBoost - Sequential real+synthetic,fhr_sampen_falling_streak,2.0713980197906494
CatBoost - Sequential real+synthetic,Age,33.461141068933955
CatBoost - Sequential real+synthetic,Gest_weeks,17.643841475273547
CatBoost - Sequential real+synthetic,fhr_baseline_median_bpm,8.190381219541143
CatBoost - Sequential real+synthetic,Sex,8.029502909750144
CatBoost - Sequential real+synthetic,fhr_baseline_mean_bpm,5.3911340500003115
CatBoost - Sequential real+synthetic,Gravidity,4.904325093429121
CatBoost - Sequential real+synthetic,Parity,4.494365056587791
CatBoost - Sequential real+synthetic,fhr_baseline_std_bpm,2.4097205407759494
CatBoost - Sequential real+synthetic,fhr_apen,1.389688742620162
CatBoost - Sequential real+synthetic,uc_invalid_pct,1.2770441062494486
CatBoost - Sequential real+synthetic,ltv_valid_windows,0.8822542161430881
CatBoost - Sequential real+synthetic,accelerations_count,0.8540138468892832
CatBoost - Sequential real+synthetic,ltv_median_amp_bpm,0.8529896372479888
CatBoost - Sequential real+synthetic,decelerations_mean_duration_s,0.8413096536510282
CatBoost - Sequential real+synthetic,accelerations_mean_amp_bpm,0.8294148655385276
CatBoost - Sequential real+synthetic,dfa_intercept,0.7763820740396677
CatBoost - Sequential real+synthetic,fhr_sampen,0.7183840476301985
CatBoost - Sequential real+synthetic,uc_contractions_count,0.642477242134973
CatBoost - Sequential real+synthetic,Diabetes,0.6079391396556648
CatBoost - Sequential real+synthetic,fhr_invalid_pct,0.6001304065696099
CatBoost - Sequential real+synthetic,decelerations_count,0.47289902617223367
CatBoost - Sequential real+synthetic,Pyrexia,0.47145211362809136
CatBoost - Sequential real+synthetic,dfa_alpha,0.4342465794923232
CatBoost - Sequential real+synthetic,ltv_mean_amp_bpm,0.4115090489663368
CatBoost - Sequential real+synthetic,delta_baseline_std_bpm,0.4028547049083806
CatBoost - Sequential real+synthetic,accelerations_mean_duration_s,0.38733485058230266
CatBoost - Sequential real+synthetic,deceleration_uc_lag_median_s,0.36984760889779617
CatBoost - Sequential real+synthetic,decelerations_variable_count,0.3435819706737685
CatBoost - Sequential real+synthetic,dfa_alpha_long,0.34297113364252274
CatBoost - Sequential real+synthetic,dfa_alpha_short,0.2978611992341125
CatBoost - Sequential real+synthetic,decelerations_mean_amp_bpm,0.29092320233156255
CatBoost - Sequential real+synthetic,decelerations_early_count,0.28289191225173516
CatBoost - Sequential real+synthetic,slope_sampen_30min,0.2003281655455627
CatBoost - Sequential real+synthetic,slope_baseline_mean_30min,0.13752125672743087
CatBoost - Sequential real+synthetic,fhr_baseline_slope_bpm_min,0.09178794702694264
CatBoost - Sequential real+synthetic,decelerations_late_count,0.08528649453567817
CatBoost - Sequential real+synthetic,deceleration_uc_lag_mean_s,0.05906487667687756
CatBoost - Sequential real+synthetic,fhr_std_falling_streak,0.055177452662784066
CatBoost - Sequential real+synthetic,delta_sampen,0.054661815433911666
CatBoost - Sequential real+synthetic,fhr_sampen_falling_streak,0.011359247948058067
